tract,Name,Household_Income_rP_gP_pall
34027045804,"Mendham, NJ",82063
34035052204,"Warren, NJ",81887
34035052601,"Far Hills, NJ",79588
34027044200,"Morristown, NJ",79531
34035050801,"Bridgewater, NJ",78928
34035052400,"Basking Ridge, Bernards, NJ",77015
34035052203,"Warren, NJ",76394
34035054100,"Basking Ridge, Bernards, NJ",75806
34027045902,"Chester, NJ",75397
34035050903,"Martinsville, Bridgewater, NJ",74411
34035052603,"Basking Ridge, Bernards, NJ",74238
34035050901,"Martinsville, Bridgewater, NJ",71187
34035050802,"Bridgewater, NJ",70834
34035052800,"Somerset County, NJ",70764
34035052901,"Far Hills, NJ",70563
34035052300,"Watchung, NJ",70170
34039038202,"Berkeley Heights, NJ",69954
34035052201,"Warren, NJ",69282
34035052700,"Bernardsville, NJ",69257
34035052904,"Far Hills, NJ",68576
34027044101,"Millington, Long Hill, NJ",68212
34027044102,"Gillette, NJ",67608
34035052100,"Dunellen, NJ",64892
34035052903,"Pluckemin, Bedminster Township, NJ",63312
34035053604,"Branchburg, NJ",62176
34035051900,"North Plainfield, NJ",53350
34035052002,"North Plainfield, NJ",43822