tract,Name,Household_Income_rA_gP_pall
34027045902,"Chester, NJ",95379
34035050802,"Bridgewater, NJ",94284
34035052204,"Warren, NJ",93680
34035052601,"Far Hills, NJ",89893
34035052201,"Warren, NJ",88390
34035054100,"Basking Ridge, Bernards, NJ",86014
34035052203,"Warren, NJ",82493
34039038202,"Berkeley Heights, NJ",81590
34035050901,"Martinsville, Bridgewater, NJ",79285
34035050801,"Bridgewater, NJ",77347
34035052903,"Pluckemin, Bedminster Township, NJ",75673
34035050903,"Martinsville, Bridgewater, NJ",73927
34035052300,"Watchung, NJ",67963
34035052603,"Basking Ridge, Bernards, NJ",66400
34035052002,"North Plainfield, NJ",63575
34035052100,"Dunellen, NJ",59638
34027044102,"Gillette, NJ",58318
34035051900,"North Plainfield, NJ",56423
34035052700,"Bernardsville, NJ",37964
34027044200,"Morristown, NJ",
34035052904,"Far Hills, NJ",
34035052400,"Basking Ridge, Bernards, NJ",
34035052800,"Somerset County, NJ",
34035052901,"Far Hills, NJ",
34035053604,"Branchburg, NJ",
34027045804,"Mendham, NJ",
34027044101,"Millington, Long Hill, NJ",