tract,Name,Household_Income_rB_gP_pall
34035051900,"North Plainfield, NJ",39887
34035054100,"Basking Ridge, Bernards, NJ",35374
34035052002,"North Plainfield, NJ",30942
34035052903,"Pluckemin, Bedminster Township, NJ",26104
34035052204,"Warren, NJ",
34035052203,"Warren, NJ",
34035052601,"Far Hills, NJ",
34035052300,"Watchung, NJ",
34035052201,"Warren, NJ",
34035050903,"Martinsville, Bridgewater, NJ",
34035050901,"Martinsville, Bridgewater, NJ",
34027044200,"Morristown, NJ",
34035050802,"Bridgewater, NJ",
34027044102,"Gillette, NJ",
34027045902,"Chester, NJ",
34035052904,"Far Hills, NJ",
34035052100,"Dunellen, NJ",
34035052400,"Basking Ridge, Bernards, NJ",
34035050801,"Bridgewater, NJ",
34035052603,"Basking Ridge, Bernards, NJ",
34035052800,"Somerset County, NJ",
34035052901,"Far Hills, NJ",
34039038202,"Berkeley Heights, NJ",
34035052700,"Bernardsville, NJ",
34035053604,"Branchburg, NJ",
34027045804,"Mendham, NJ",
34027044101,"Millington, Long Hill, NJ",