tract,Name,Household_Income_rW_gP_pall
34027045804,"Mendham, NJ",86022
34035052204,"Warren, NJ",83981
34035052601,"Far Hills, NJ",83168
34035050801,"Bridgewater, NJ",81292
34035052603,"Basking Ridge, Bernards, NJ",80299
34027044200,"Morristown, NJ",80165
34035052400,"Basking Ridge, Bernards, NJ",78919
34035054100,"Basking Ridge, Bernards, NJ",78445
34035050903,"Martinsville, Bridgewater, NJ",76777
34035052203,"Warren, NJ",76103
34027045902,"Chester, NJ",75571
34035052904,"Far Hills, NJ",72887
34035052700,"Bernardsville, NJ",72644
34035052300,"Watchung, NJ",71629
34035052800,"Somerset County, NJ",71339
34035050901,"Martinsville, Bridgewater, NJ",70765
34039038202,"Berkeley Heights, NJ",70027
34027044102,"Gillette, NJ",69884
34035050802,"Bridgewater, NJ",69639
34035052201,"Warren, NJ",69135
34035052903,"Pluckemin, Bedminster Township, NJ",67719
34035052100,"Dunellen, NJ",67107
34035052901,"Far Hills, NJ",66655
34027044101,"Millington, Long Hill, NJ",66549
34035053604,"Branchburg, NJ",65239
34035051900,"North Plainfield, NJ",58326
34035052002,"North Plainfield, NJ",50199